screen_name,Unnamed: 0,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,id,statuses_count,verified,average_tweets_per_day,account_age_days,time_diff,Entropy,reputation
14ngRxNWEr1T8gP,20810.0,1.0,0.0,23.0,1.0,0.0,0.0,8.491647698945761e+17,163.0,0.0,0.132,1233.0,12.887777777777778,0.3494504453941436,0.0
CJRubinPhoto,1.0,0.0,0.0,536.0,860.0,880.0,0.0,7.962161183313101e+17,252.0,0.0,0.183,1379.0,0.0,0.0,0.4942528735632184
RangerHawke,11394.0,1.0,0.0,74.0,0.0,0.0,0.0,7.722056465948631e+17,171.0,0.0,0.118,1445.0,12.440833333333334,0.34611367030128365,0.0
Stellacdolce,17275.0,1.0,0.0,572.0,185.0,416.0,0.0,8.268504301855908e+17,3580.0,0.0,2.767,1294.0,37.143055555555556,0.22081262873829102,0.30782029950083195
StraatkrantB,26636.0,0.0,0.0,950.0,5633.0,3057.0,0.0,307419281.0,2112.0,0.0,0.627,3369.0,23.218333333333334,0.3562067583105406,0.6482163406214039
ThaJudicator,27675.0,0.0,0.0,19634.0,592.0,1815.0,1.0,53146940.0,19688.0,0.0,4.843,4065.0,0.0008333333333333334,0.00018336833068673732,0.24594931449937682
TheFree_Lance,22738.0,0.0,0.0,14778.0,1118.0,459.0,0.0,338587175.0,72072.0,0.0,21.722,3318.0,0.0002777777777777778,6.722617849929082e-05,0.7089410272669626
Winniekeene2766,31954.0,1.0,0.0,50.0,0.0,0.0,0.0,7.72498678904918e+17,129.0,0.0,0.089,1444.0,22.18,0.3605722856272284,0.0
clazppamp,3332.0,0.0,0.0,2274.0,29.0,65.0,1.0,67918711.0,4032.0,0.0,1.004,4014.0,0.0002777777777777778,6.722617849929082e-05,0.30851063829787234
d_TRIX,30795.0,0.0,0.0,2575.0,337700.0,4092.0,1.0,24856567.0,16533.0,1.0,3.962,4173.0,34.388333333333335,0.2574349463670012,0.98802780638517
deanfrancis1975,26790.0,1.0,0.0,1237.0,28.0,130.0,0.0,382655684.0,1786.0,0.0,0.55,3245.0,12.873055555555556,0.34934553042492084,0.17721518987341772
dippedinfinesse,22078.0,0.0,0.0,2051.0,118.0,66.0,1.0,59661520.0,2634.0,0.0,0.651,4044.0,17.920277777777777,0.3677563912687212,0.6413043478260869
dyachkovalyuts1,24363.0,1.0,0.0,1864.0,25.0,36.0,0.0,7.719212398415708e+17,1865.0,0.0,1.29,1446.0,26.009444444444444,0.3399763593038304,0.4098360655737705
edwinjoselo,9155.0,1.0,0.0,1689.0,25.0,127.0,0.0,495778795.0,2514.0,0.0,0.81,3105.0,36.778333333333336,0.22590289611882203,0.16447368421052633
gyxpugqv1815,9856.0,1.0,0.0,35.0,0.0,0.0,0.0,8.773793481975562e+17,297.0,0.0,0.257,1155.0,1.2544444444444445,0.09246084002214568,0.0
igpgipcukvneev1,13276.0,1.0,0.0,57.0,1.0,0.0,0.0,8.774423837591347e+17,269.0,0.0,0.233,1155.0,1.9308333333333334,0.12566138734934004,0.0
kenandogulu,30890.0,0.0,0.0,872.0,2633498.0,347.0,1.0,69683823.0,1713.0,1.0,0.427,4008.0,0.0002777777777777778,6.722617849929082e-05,0.9998682534469568
lorello_willow,33506.0,1.0,0.0,81.0,1.0,0.0,0.0,7.72328707767894e+17,209.0,0.0,0.145,1445.0,10.257222222222222,0.32495719880160306,0.0
pxylwgqwraqhih1,9726.0,1.0,0.0,29.0,0.0,0.0,0.0,8.774728989103718e+17,154.0,0.0,0.133,1155.0,11.40638888888889,0.33713849452977307,0.0
